SA2_CODE,Parents_Born_Overseas,Parents_POB_Parent_Code,obsValue
118011345,Total,NA,15170
118011345,Both parents born overseas,TOT,5453
118011345,Father only born overseas,TOT,1349
118011345,Mother only born overseas,TOT,1005
118011345,Both parents born in Australia,TOT,5807
118011345,Not stated - birthplace for either or both parents not stated,TOT,1558
118011346,Total,NA,11840
118011346,Both parents born overseas,TOT,5234
118011346,Father only born overseas,TOT,1081
118011346,Mother only born overseas,TOT,835
118011346,Both parents born in Australia,TOT,3870
118011346,Not stated - birthplace for either or both parents not stated,TOT,823
118011347,Total,NA,7685
118011347,Both parents born overseas,TOT,2761
118011347,Father only born overseas,TOT,642
118011347,Mother only born overseas,TOT,481
118011347,Both parents born in Australia,TOT,2961
118011347,Not stated - birthplace for either or both parents not stated,TOT,832
118021348,Total,NA,25452
118021348,Both parents born overseas,TOT,10518
118021348,Father only born overseas,TOT,1987
118021348,Mother only born overseas,TOT,1531
118021348,Both parents born in Australia,TOT,9134
118021348,Not stated - birthplace for either or both parents not stated,TOT,2290
118021350,Total,NA,24036
118021350,Both parents born overseas,TOT,9604
118021350,Father only born overseas,TOT,1497
118021350,Mother only born overseas,TOT,1165
118021350,Both parents born in Australia,TOT,8231
118021350,Not stated - birthplace for either or both parents not stated,TOT,3539
118021564,Total,NA,14882
118021564,Both parents born overseas,TOT,8925
118021564,Father only born overseas,TOT,760
118021564,Mother only born overseas,TOT,591
118021564,Both parents born in Australia,TOT,3475
118021564,Not stated - birthplace for either or both parents not stated,TOT,1127
118021565,Total,NA,15599
118021565,Both parents born overseas,TOT,10735
118021565,Father only born overseas,TOT,750
118021565,Mother only born overseas,TOT,536
118021565,Both parents born in Australia,TOT,2749
118021565,Not stated - birthplace for either or both parents not stated,TOT,836
118021566,Total,NA,9812
118021566,Both parents born overseas,TOT,5089
118021566,Father only born overseas,TOT,699
118021566,Mother only born overseas,TOT,529
118021566,Both parents born in Australia,TOT,2937
118021566,Not stated - birthplace for either or both parents not stated,TOT,547
118021567,Total,NA,10683
118021567,Both parents born overseas,TOT,5167
118021567,Father only born overseas,TOT,783
118021567,Mother only born overseas,TOT,513
118021567,Both parents born in Australia,TOT,3367
118021567,Not stated - birthplace for either or both parents not stated,TOT,852
118021568,Total,NA,10199
118021568,Both parents born overseas,TOT,6522
118021568,Father only born overseas,TOT,505
118021568,Mother only born overseas,TOT,439
118021568,Both parents born in Australia,TOT,2098
118021568,Not stated - birthplace for either or both parents not stated,TOT,631
118021569,Total,NA,16873
118021569,Both parents born overseas,TOT,7899
118021569,Father only born overseas,TOT,1264
118021569,Mother only born overseas,TOT,1025
118021569,Both parents born in Australia,TOT,5508
118021569,Not stated - birthplace for either or both parents not stated,TOT,1175
118021570,Total,NA,13112
118021570,Both parents born overseas,TOT,6589
118021570,Father only born overseas,TOT,844
118021570,Mother only born overseas,TOT,713
118021570,Both parents born in Australia,TOT,3523
118021570,Not stated - birthplace for either or both parents not stated,TOT,1448
