SA2_CODE,LFSP_C16,obsValue
102021054,UEMP,302
102021054,LF,3758
102021055,UEMP,164
102021055,LF,2576
102021056,UEMP,429
102021056,LF,7126
102021057,UEMP,370
102021057,LF,3696
115011290,UEMP,583
115011290,LF,11783
115011291,UEMP,574
115011291,LF,11165
115011294,UEMP,122
115011294,LF,3123
115011296,UEMP,314
115011296,LF,6846
115011553,UEMP,189
115011553,LF,4017
115011554,UEMP,113
115011554,LF,2278
115011555,UEMP,327
115011555,LF,6236
115011556,UEMP,251
115011556,LF,4991
115011557,UEMP,152
115011557,LF,2905
115011558,UEMP,526
115011558,LF,9876
115011559,UEMP,568
115011559,LF,12709
115021297,UEMP,353
115021297,LF,10917
115021298,UEMP,94
115021298,LF,2649
115031299,UEMP,69
115031299,LF,1275
115031300,UEMP,410
115031300,LF,11830
115041301,UEMP,158
115041301,LF,5661
115041302,UEMP,519
115041302,LF,12366
116011303,UEMP,668
116011303,LF,8491
116011304,UEMP,706
116011304,LF,8638
116011306,UEMP,858
116011306,LF,11104
116011307,UEMP,744
116011307,LF,12499
116011308,UEMP,790
116011308,LF,11809
116011560,UEMP,484
116011560,LF,5929
116011561,UEMP,560
116011561,LF,7835
116021309,UEMP,542
116021309,LF,8927
116021310,UEMP,809
116021310,LF,16890
116021312,UEMP,473
116021312,LF,8886
116021562,UEMP,108
116021562,LF,2181
116021563,UEMP,759
116021563,LF,12652
116031313,UEMP,872
116031313,LF,6630
116031314,UEMP,296
116031314,LF,4207
116031315,UEMP,750
116031315,LF,10539
116031316,UEMP,853
116031316,LF,7920
116031317,UEMP,995
116031317,LF,8941
116031318,UEMP,0
116031318,LF,17
116031319,UEMP,727
116031319,LF,10580
117011320,UEMP,0
117011320,LF,15
117011321,UEMP,229
117011321,LF,5859
117011322,UEMP,803
117011322,LF,13048
117011323,UEMP,325
117011323,LF,5387
117011324,UEMP,0
117011324,LF,4
117011325,UEMP,0
117011325,LF,23
117021326,UEMP,820
117021326,LF,14723
117021327,UEMP,532
117021327,LF,12367
117021328,UEMP,217
117021328,LF,4750
117031329,UEMP,341
117031329,LF,7456
117031330,UEMP,400
117031330,LF,11449
117031331,UEMP,716
117031331,LF,11390
117031332,UEMP,948
117031332,LF,15537
117031333,UEMP,542
117031333,LF,12779
117031334,UEMP,947
117031334,LF,12440
117031335,UEMP,957
117031335,LF,12654
117031336,UEMP,491
117031336,LF,10670
117031337,UEMP,1046
117031337,LF,16168
117031338,UEMP,1279
117031338,LF,18325
118011339,UEMP,406
118011339,LF,10822
118011340,UEMP,455
118011340,LF,12323
118011341,UEMP,370
118011341,LF,9003
118011342,UEMP,0
118011342,LF,0
118011343,UEMP,433
118011343,LF,13267
118011344,UEMP,233
118011344,LF,5739
