School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
Eglinton Public School,Eglinton,2795,Coed,Primary School,-33.37752,149.539343,103011058
Elands Public School,Elands,2429,Coed,Primary School,-31.619383,152.292291,108051170
Ellalong Public School,ELLALONG,2325,Coed,Primary School,-32.914749,151.311974,106011109
Ellerston Public School,Ellerston,2337,Coed,Primary School,-31.81773,151.304369,106041129
Eltham Public School,Eltham,2480,Coed,Primary School,-28.763663,153.408541,112021249
Emmaville Central School,Emmaville,2371,Coed,Central/Community School,-29.446152,151.601669,110021190
Empire Bay Public School,EMPIRE BAY,2257,Coed,Primary School,-33.504316,151.362889,102011029
Empire Vale Public School,Empire Vale,2478,Coed,Primary School,-28.915114,153.506059,112011237
Emu Plains Public School,Emu Plains,2750,Coed,Primary School,-33.755617,150.657739,124031459
Enfield Public School,Enfield,2136,Coed,Primary School,-33.888598,151.094528,120031393
Engadine Public School,Engadine,2233,Coed,Primary School,-34.06335,151.012431,128021607
The Entrance Public School,The Entrance,2261,Coed,Primary School,-33.346741,151.493009,102021053
Epping Public School,EPPING,2121,Coed,Primary School,-33.770727,151.087878,126011495
Epping West Public School,Epping,2121,Coed,Primary School,-33.772789,151.068048,126011495
Erina Heights Public School,Erina Heights,2260,Coed,Primary School,-33.428028,151.413585,102011031
Woodport Public School,Erina,2250,Coed,Primary School,-33.439347,151.37849,102011031
Ermington Public School,West Ryde,2114,Coed,Primary School,-33.804749,151.071574,126021503
Ettalong Public School,Ettalong Beach,2257,Coed,Primary School,-33.513539,151.332702,102011040
Euabalong West Public School,EUABALONG WEST,2877,Coed,Primary School,-33.05583,146.397128,105011093
Euchareena Public School,Euchareena,2866,Coed,Primary School,-32.937204,149.091542,105031106
Eugowra Public School,Eugowra,2806,Coed,Primary School,-33.423082,148.369286,103021065
Eumungerie Public School,Eumungerie,2831,Coed,Primary School,-31.951152,148.621075,105031103
Eungai Public School,Eungai Creek,2441,Coed,Primary School,-30.832071,152.874284,108021159
Eureka Public School,Eureka,2480,Coed,Primary School,-28.687657,153.439223,112011238
Eurongilly Public School,EURONGILLY,2663,Coed,Primary School,-34.91017,147.780957,113031265
Euston Public School,Euston,2737,Coed,Primary School,-34.575588,142.744248,109021179
Evans River Community School,EVANS HEAD,2473,Coed,Central/Community School,-29.113492,153.424683,112011241
Excelsior Public School,Castle Hill,2154,Coed,Primary School,-33.740444,150.990408,115011553
Exeter Public School,Exeter,2579,Coed,Primary School,-34.61612,150.321828,114021289
Fairfax Public School,Maules Creek,2382,Coed,Primary School,-30.493351,150.131265,110031198
Fairfield Public School,Fairfield,2165,Coed,Primary School,-33.866847,150.955409,127021515
Fairfield West Public School,Fairfield West,2165,Coed,Primary School,-33.868037,150.924762,127021516
Fairy Meadow Public School,Fairy Meadow,2519,Coed,Primary School,-34.390469,150.892302,107041144
Falls Creek Public School,Falls Creek,2540,Coed,Primary School,-34.965439,150.593403,114011281
Fassifern Public School,FASSIFERN,2283,Coed,Primary School,-32.983398,151.582769,111021219
Fingal Head Public School,Fingal Head,2487,Coed,Primary School,-28.196814,153.565122,112031250
Five Dock Public School,Five Dock,2046,Coed,Primary School,-33.866859,151.127318,120011386
Lord Howe Island Central School,Lord Howe Island,2898,Coed,Central/Community School,-31.530072,159.069032,108031161
Forbes Public School,Forbes,2871,Coed,Primary School,-33.387948,148.006385,103021065
Forest Hill Public School,Forest Hill,2651,Coed,Primary School,-35.147875,147.467,113031271
Forest Lodge Public School,Forest Lodge,2037,Coed,Primary School,-33.882169,151.181597,117031331
Forster Public School,Forster,2428,Coed,Primary School,-32.18247,152.524246,108011152
Fort Street Public School,Sydney,2000,Coed,Primary School,-33.860427,151.204871,117031337
Frederickton Public School,Frederickton,2440,Coed,Primary School,-31.033583,152.879353,108021155
Freemans Reach Public School,FREEMANS REACH,2756,Coed,Primary School,-33.558697,150.799309,115031300
Frenchs Forest Public School,Frenchs Forest,2086,Coed,Primary School,-33.751516,151.224695,122031428
Galston Public School,Galston,2159,Coed,Primary School,-33.648197,151.04517,115021298
Ganmain Public School,GANMAIN,2702,Coed,Primary School,-34.796923,147.040034,113031271
Garah Public School,Garah,2405,Coed,Primary School,-29.077177,149.634928,110031196
Gerogery Public School,GEROGERY,2642,Coed,Primary School,-35.83213,146.998143,109011175
Gerringong Public School,Gerringong,2534,Coed,Primary School,-34.749384,150.821499,107031140
Geurie Public School,GEURIE,2818,Coed,Primary School,-32.3961,148.82945,105031106
Sandy Hollow Public School,Sandy Hollow,2333,Coed,Primary School,-32.336471,150.569007,106041127
Gilgai Public School,Gilgai,2360,Coed,Primary School,-29.852694,151.115555,110021192
Gilgandra Public School,Gilgandra,2827,Coed,Primary School,-31.707981,148.66464,105031104
Gillieston Public School,Gillieston Heights,2321,Coed,Primary School,-32.75232,151.530713,106021114
Girilambone Public School,Girilambone,2831,Coed,Primary School,-31.24967,146.908851,105011095
Girraween Public School,Girraween,2145,Coed,Primary School,-33.799711,150.950356,125041588
Gladesville Public School,Gladesville,2111,Coed,Primary School,-33.832977,151.125699,126021498
Gladstone Public School,Gladstone,2440,Coed,Primary School,-31.026485,152.946508,108021156
Windang Public School,Windang,2528,Coed,Primary School,-34.531496,150.86597,107011547
Glenbrook Public School,Glenbrook,2773,Coed,Primary School,-33.765996,150.621286,124011450
Glenfield Public School,Glenfield,2167,Coed,Primary School,-33.971005,150.896584,123021442
Glenhaven Public School,Glenhaven,2156,Coed,Primary School,-33.700792,151.002882,115011294
Glen Innes Public School,Glen Innes,2370,Coed,Primary School,-29.735142,151.740989,110021190
Glenmore Road Public School,Paddington,2021,Coed,Primary School,-33.881385,151.230233,118011345
Glenorie Public School,Glenorie,2157,Coed,Primary School,-33.599444,151.008082,115021297
Glenquarry Public School,Glenquarry,2576,Coed,Primary School,-34.522335,150.483539,114021288
Glenreagh Public School,Glenreagh,2450,Coed,Primary School,-30.053582,152.976339,104011081
Glen William Public School,Clarence Town,2321,Coed,Primary School,-32.525391,151.79794,106011110
Glossodia Public School,Glossodia,2756,Coed,Primary School,-33.530504,150.765471,115031300
Gol Gol Public School,Gol Gol,2738,Coed,Primary School,-34.179608,142.222652,109021178
Goodooga Central School,GOODOOGA,2838,Coed,Central/Community School,-29.115865,147.455532,105011096
Goolgowi Public School,Goolgowi,2652,Coed,Primary School,-33.97571,145.709221,113011257
Goolma Public School,Goolma,2852,Coed,Primary School,-32.3688,149.26901,103031074
Goolmangar Public School,Goolmangar,2480,Coed,Primary School,-28.709747,153.23169,112021249
Gooloogong Public School,Gooloogong,2805,Coed,Primary School,-33.617104,148.436422,103021064
Goonellabah Public School,Goonellabah,2480,Coed,Primary School,-28.818329,153.322306,112021246
Goonengerry Public School,GOONENGERRY,2482,Coed,Primary School,-28.609512,153.439753,112011243
Gosford Public School,West Gosford,2250,Coed,Primary School,-33.42075,151.33449,102011032
Goulburn Public School,Goulburn,2580,Coed,Primary School,-34.750563,149.717773,101051539
Goulburn East Public School,Goulburn,2580,Coed,Primary School,-34.7626,149.730388,101051539
Goulburn North Public School,Goulburn North,2580,Coed,Primary School,-34.744579,149.735043,101051539
Goulburn South Public School,Goulburn,2580,Coed,Primary School,-34.76004,149.712314,101051539
Grafton Public School,Grafton,2460,Coed,Primary School,-29.68499,152.933325,104011080
South Grafton Public School,South Grafton,2460,Coed,Primary School,-29.709892,152.937126,104011080
Granville Public School,Granville,2142,Coed,Primary School,-33.834264,151.004671,125031481
Granville South Public School,Guildford,2161,Coed,Primary School,-33.848289,150.995883,125031483
Gravesend Public School,Gravesend,2401,Coed,Primary School,-29.585367,150.332417,110021193
Greenethorpe Public School,Greenethorpe,2809,Coed,Primary School,-33.997714,148.400139,103021066
Green Hill Public School,West Kempsey,2440,Coed,Primary School,-31.059616,152.802757,108021155
Green Valley Public School,Green Valley,2168,Coed,Primary School,-33.90074,150.868972,127011594
Greenwich Public School,Greenwich,2065,Coed,Primary School,-33.82587,151.183252,121011400
Grenfell Public School,Grenfell,2810,Coed,Primary School,-33.892296,148.167544,103021066
Gresford Public School,Gresford,2311,Coed,Primary School,-32.427628,151.538335,106011110
Greta Public School,GRETA,2334,Coed,Primary School,-32.680083,151.38721,106011107
Greystanes Public School,Greystanes,2145,Coed,Primary School,-33.828043,150.941111,125031482
Griffith Public School,Griffith,2680,Coed,Primary School,-34.291396,146.036252,113011256
Guildford Public School,Guildford,2161,Coed,Primary School,-33.855821,150.981983,125031484
Gulargambone Central School,Gulargambone,2828,Coed,Central/Community School,-31.33224,148.475758,105011094
Gulgong Public School,Gulgong,2852,Coed,Primary School,-32.359746,149.537692,103031074
Gulmarrad Public School,GULMARRAD,2463,Coed,Primary School,-29.489242,153.233572,104011082
Gum Flat Public School,Gum Flat,2360,Coed,Primary School,-29.779563,150.979221,110021193
Gundagai Public School,Gundagai,2722,Coed,Primary School,-35.052146,148.109174,113031264
Gundagai South Public School,SOUTH GUNDAGAI,2722,Coed,Primary School,-35.080802,148.103086,113031264
Gundaroo Public School,Gundaroo,2620,Coed,Primary School,-35.029909,149.267076,101061542
Gunnedah Public School,Gunnedah,2380,Coed,Primary School,-30.977491,150.256335,110041199
Gunning Public School,Gunning,2581,Coed,Primary School,-34.783525,149.265602,101061542
Guyra Central School,GUYRA,2365,Coed,Central/Community School,-30.222577,151.677369,110011187
Gwabegar Public School,Gwabegar,2356,Coed,Primary School,-30.611489,148.974999,110031198
Gymea Bay Public School,Gymea Bay,2227,Coed,Primary School,-34.046905,151.082825,128011529
Haberfield Public School,Haberfield,2045,Coed,Primary School,-33.879467,151.134002,120031395
Hammondville Public School,Hammondville,2170,Coed,Primary School,-33.947273,150.954525,127031524
Hampton Public School,Hampton,2790,Coed,Primary School,-33.648479,150.048925,103031071
Hannam Vale Public School,Hannam Vale,2443,Coed,Primary School,-31.712949,152.594024,108051170
Hanwood Public School,Hanwood,2680,Coed,Primary School,-34.329726,146.04237,113011257
Harbord Public School,Freshwater,2096,Coed,Primary School,-33.772164,151.286531,122031429
Hargraves Public School,Hargraves,2850,Coed,Primary School,-32.783336,149.461924,103031074
Harrington Public School,Harrington,2427,Coed,Primary School,-31.870234,152.688803,108051170
Harwood Island Public School,HARWOOD,2465,Coed,Primary School,-29.425605,153.240299,104011082
Hay Public School,HAY,2711,Coed,Primary School,-34.506048,144.84541,109021177
Heathcote Public School,Heathcote,2233,Coed,Primary School,-34.086704,151.007321,128021533
Helensburgh Public School,Helensburgh,2508,Coed,Primary School,-34.184207,150.988393,107041147
Henty Public School,Henty,2658,Coed,Primary School,-35.517474,147.031248,109011175
Hermidale Public School,Hermidale,2831,Coed,Primary School,-31.551165,146.723373,105011095
Hernani Public School,Dorrigo,2453,Coed,Primary School,-30.294514,152.422727,104021087
Herons Creek Public School,Herons Creek,2443,Coed,Primary School,-31.580394,152.729988,108041162
Hill End Public School,Hill End,2850,Coed,Primary School,-33.034573,149.415886,103011060
Hillside Public School,Glenorie,2157,Coed,Primary School,-33.601784,150.976151,115021297
Hillston Central School,Hillston,2675,Coed,Central/Community School,-33.479904,145.54026,113011257
Hill Top Public School,Hill Top,2575,Coed,Primary School,-34.354826,150.491396,114021285
Hinton Public School,Hinton,2321,Coed,Primary School,-32.716733,151.650674,106031123
Holbrook Public School,Holbrook,2644,Coed,Primary School,-35.717853,147.318953,109011175
Holgate Public School,Holgate,2250,Coed,Primary School,-33.405106,151.407722,102011031
Holmwood Public School,Cowra,2794,Coed,Primary School,-33.810597,148.756777,103021064
Homebush Public School,Homebush,2140,Coed,Primary School,-33.867319,151.08523,120031396
Telarah Public School,Maitland,2320,Coed,Primary School,-32.7252,151.532379,106021117
Horsley Park Public School,HORSLEY PARK,2175,Coed,Primary School,-33.840414,150.852683,127021518
Howlong Public School,Howlong,2643,Coed,Primary School,-35.979939,146.636764,109031181
Hoxton Park Public School,HOXTON PARK,2171,Coed,Primary School,-33.931881,150.849626,127011596
Humula Public School,Humula,2652,Coed,Primary School,-35.483339,147.760583,113031271
Hunters Hill Public School,Hunters Hill,2110,Coed,Primary School,-33.835121,151.151254,126021499
Huntingdon Public School,Wauchope,2446,Coed,Primary School,-31.478214,152.660607,108041165
Rathmines Public School,Rathmines,2283,Coed,Primary School,-33.042628,151.5899,111021220
Hurstville Public School,Hurstville,2220,Coed,Primary School,-33.964695,151.110728,119031368
Hurstville South Public School,Hurstville,2220,Coed,Primary School,-33.972516,151.099252,119031374
Huskisson Public School,Huskisson,2540,Coed,Primary School,-35.036821,150.668104,114011276
Ilford Public School,Ilford,2850,Coed,Primary School,-32.966702,149.855478,103031073
Illabo Public School,Illabo,2590,Coed,Primary School,-34.814002,147.741165,113031265
Iluka Public School,ILUKA,2466,Coed,Primary School,-29.404676,153.348938,104011082
Ingleburn Public School,Ingleburn,2565,Coed,Primary School,-34.000332,150.866612,123021440
Inverell Public School,Inverell,2360,Coed,Primary School,-29.773135,151.123016,110021191
Iona Public School,Woodville,2321,Coed,Primary School,-32.665063,151.604218,106031123
Islington Public School,Islington,2296,Coed,Primary School,-32.911412,151.744091,111031235
Ivanhoe Central School,Ivanhoe,2878,Coed,Central/Community School,-32.898531,144.300978,105021098
Fernleigh Public School,Fernleigh,2479,Coed,Primary School,-28.76765,153.498399,112011237
Jamberoo Public School,Jamberoo,2533,Coed,Primary School,-34.644622,150.773003,107031140
Jennings Public School,JENNINGS,4383,Coed,Primary School,-28.927243,151.934357,110021194
Jerangle Public School,JERANGLE,2630,Coed,Primary School,-35.871132,149.364268,101031015
Jerilderie Public School,Jerilderie,2716,Coed,Primary School,-35.354598,145.728865,109031185
Jerrys Plains Public School,Jerrys Plains,2330,Coed,Primary School,-32.49723,150.905944,106011113
Jesmond Public School,Jesmond,2299,Coed,Primary School,-32.903841,151.695427,111031231
Jiggi Public School,Jiggi,2480,Coed,Primary School,-28.677986,153.181368,112021249
Jilliby Public School,Wyong,2259,Coed,Primary School,-33.239937,151.380052,102021049
Jindabyne Central School,Jindabyne,2627,Coed,Central/Community School,-36.416703,148.618901,101031016
Jindera Public School,Jindera,2642,Coed,Primary School,-35.959036,146.886741,109011175
Johns River Public School,Johns River,2443,Coed,Primary School,-31.733013,152.696599,108051170
