"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SECTOR_EDU","EXPENDITURE_TYPE","SOURCE_FUND","FUND_FLOW","TEACH_EXPERIENCE","CONTRACT_TYPE","REF_AREA","TIME_PERIOD","OBS_VALUE","UNIT_MULT","FREQ","DECIMALS","OBS_STATUS"
"21394","EDU_EXP","CUR_EXP","L02","_T","INST_PUB","CUR_O","GOV","FFNTP","_Z","_Z","BF","2016","8.92489","0","A","5","A"
"21395","XUNIT","PPP","L2","_T","_T","_T","GOV","FFNTP","_Z","_Z","AL","2016","1471.62028","0","A","5","A"
"21396","XASTRP","GDP_CAP","L02","_T","_T","_T","GOV","FFNTP","Y1","PERM","EC","2016","195.92834","0","A","5","A"
"21397","XUNIT","PPP_CONST","L3","_T","_T","_T","GOV","FFNTR","_Z","_Z","PK","2016","577.48689","0","A","5","A"
"21398","EDU_EXP","EXP_T","L5T8","_T","INST_PUB","CUR","GOV","FFNTP","_Z","_Z","CK","2016","100","0","A","5","A"
"21399","EDU_EXP","EXP_T","L5T8","_T","INST_PUB","CAP","GOV","FFNTP","_Z","_Z","PK","2016","28.37783","0","A","5","A"
"21400","EDU_EXP","GOV_EXP_EDU","L2_3","_T","_T","CUR_TRF","GOV","_T","_Z","_Z","SS","2016","100","0","A","5","A"
"21401","XUNIT","GNI_CAP","L2","_T","_T","_T","GOV","FFNTP","_Z","_Z","PK","2016","9.69355","0","A","5","A"
"21402","EDU_EXP","CUR_EXP","L2_3","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","BF","2016","58.19305","0","A","5","A"
"21403","EDU_EXP","GDP","L3","_T","_T","_T","GOV","_T","_Z","_Z","BN","2016","1.97033","0","A","5","A"
"21404","XUNIT","PPP_CONST","L1","_T","_T","_T","HH","FFNTR","_Z","_Z","OM","2017","15.97105","0","A","5","A"
"21405","EDU_EXP","GOV_EXP_EDU","L3","_T","_T","_T","GOV","_T","_Z","_Z","SN","2016","14.05339","0","A","5","A"
"21406","XUNIT","USD_CONST","L1","_T","_T","_T","GOV","FFNTR","_Z","_Z","MM","2017","90.88566","0","A","5","A"
"21407","EDU_EXP","GOV_EXP_T","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","CK","2016","0","0","A","5","Z"
"21408","EDU_EXP","GOV_EXP_T","_T","_T","_T","_T","GOV","_T","_Z","_Z","GD","2016","42.78863","0","A","5","A"
"21409","EDU_EXP","CUR_EXP","L02","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","AF","2016","0","0","A","5","Z"
"21410","EDU_EXP","CUR_EXP","L02","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","AF","2017","0","0","A","5","Z"
"21411","EDU_EXP","GNI","L02","_T","_T","CUR","GOV","_T","_Z","_Z","MM","2017","0.01110","0","A","5","A"
"21412","EDU_EXP","GDP","L3","_T","_T","CUR","GOV","_T","_Z","_Z","CV","2016","0.78902","0","A","5","A"
"21413","EDU_EXP","CUR_EXP","_T","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","GT","2016","74.35423","0","A","5","A"
"21414","EDU_EXP","CUR_EXP","_T","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","GT","2017","75.29834","0","A","5","A"
"21415","EDU_EXP","CUR_EXP","L5T8","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","UY","2016","86.56354","0","A","5","A"
"21416","XUNIT","USD_CONST","L2_3","_T","_T","_T","GOV","FFNTR","_Z","_Z","MM","2017","134.97957","0","A","5","A"
"21417","EDU_EXP","EXP_T","L02","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","MM","2017","0","0","A","5","Z"
"21418","EDU_EXP","EXP_T","_T","_T","INST_PUB","CAP","GOV","FFNTP","_Z","_Z","CK","2016","2.61642","0","A","5","A"
"21419","EDU_EXP","CUR_EXP","L5T8","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","MO","2016","62.75836","0","A","5","A"
"21420","XUNIT","GNI_CAP","L02","_T","_T","_T","GOV","FFNTP","_Z","_Z","BN","2016","0.97657","0","A","5","A"
"21421","XUNIT","USD_CONST","L2_3","_T","_T","_T","GOV","FFNTP","_Z","_Z","BN","2016","7368.72722","0","A","5","A"
"21422","XUNIT","GDP_CAP","L2","_T","_T","_T","GOV","FFNTP","_Z","_Z","ZA","2017","21.06543","0","A","5","A"
