SA2_CODE,Both_Parents_Born_Australia,Both_Parents_Born_Overseas,One_Parent_Born_Overseas
302021029,3356,1855,798
302021030,2509,1002,597
302021031,7618,3382,1888
302021032,3746,1536,865
302021033,3916,1603,870
302021034,5630,2302,1438
302031035,4613,3147,1090
302031036,47,23,17
302031037,377,261,90
302031038,3554,1713,901
302031039,5252,2482,1246
302031040,5608,4271,1460
302041041,9186,4865,2120
302041042,5592,1985,1326
302041043,2128,778,498
302041044,3774,1444,928
302041045,4644,5610,1254
302041046,4144,3107,1060
303011047,6413,2537,1645
303011048,2816,1670,771
303011049,5550,3294,1427
303011050,3118,2191,923
303011051,6909,6290,1913
303021052,4854,4239,1418
303021053,8346,4489,2168
303021054,2068,1724,682
303021055,4137,3191,1177
303021056,4451,2139,1265
303021057,3251,1842,917
303021058,1911,2408,591
303021059,4795,2624,1249
303031060,3497,9913,1124
303031061,1139,4050,381
303031062,3785,3451,1078
303031063,7009,4900,2046
303031064,2296,3109,678
303031065,3570,4012,1053
303031066,4375,4709,1222
303041067,1584,2985,522
303041068,4975,3472,1369
